"","country","tot","latitude","longitude","region","Proportion of fighters","Percentage of fighters"
"1","Afghanistan",1,33.93911,67.709953,"Southern Asia",0.138121546961326,0.00138121546961326
"2","Argentina",2,-38.416097,-63.616672,"South America",0.276243093922652,0.00276243093922652
"3","Armenia",1,40.069099,45.038189,"Western Asia",0.138121546961326,0.00138121546961326
"4","Australia",15,-25.274398,133.775136,"Australia and New Zealand",2.07182320441989,0.0207182320441989
"5","Bahamas",1,25.03428,-77.39628,"Caribbean",0.138121546961326,0.00138121546961326
"6","Belarus",1,53.709807,27.953389,"Eastern Europe",0.138121546961326,0.00138121546961326
"7","Belgium",1,50.503887,4.469936,"Western Europe",0.138121546961326,0.00138121546961326
"8","Bosnia and Herzegovina",2,43.915886,17.679076,"Southern Europe",0.276243093922652,0.00276243093922652
"9","Brazil",121,-14.235004,-51.92528,"South America",16.7127071823204,0.167127071823204
"10","Cameroon",1,7.369722,12.354722,"Middle Africa",0.138121546961326,0.00138121546961326
"11","Canada",29,56.130366,-106.346771,"Northern America",4.00552486187845,0.0400552486187845
"12","Chile",1,-35.675147,-71.542969,"South America",0.138121546961326,0.00138121546961326
"13","China",7,35.86166,104.195397,"Eastern Asia",0.966850828729282,0.00966850828729282
"14","Colombia",1,4.570868,-74.297333,"South America",0.138121546961326,0.00138121546961326
"15","Croatia",1,45.1,15.2,"Southern Europe",0.138121546961326,0.00138121546961326
"16","Cuba",3,21.521757,-77.781167,"Caribbean",0.414364640883978,0.00414364640883978
"17","Cyprus",1,35.126413,33.429859,"Western Asia",0.138121546961326,0.00138121546961326
"18","Czech Republic",4,49.817492,15.472962,"Eastern Europe",0.552486187845304,0.00552486187845304
"19","Denmark",4,56.26392,9.501785,"Northern Europe",0.552486187845304,0.00552486187845304
"20","Ecuador",1,-1.831239,-78.183406,"South America",0.138121546961326,0.00138121546961326
"21","Finland",2,61.92411,25.748151,"Northern Europe",0.276243093922652,0.00276243093922652
"22","France",8,46.227638,2.213749,"Western Europe",1.10497237569061,0.0110497237569061
"23","Germany",2,51.165691,10.451526,"Western Europe",0.276243093922652,0.00276243093922652
"24","Guam",1,13.444304,144.793731,"Micronesia",0.138121546961326,0.00138121546961326
"25","Haiti",1,18.971187,-72.285215,"Caribbean",0.138121546961326,0.00138121546961326
"26","Iceland",1,64.963051,-19.020835,"Northern Europe",0.138121546961326,0.00138121546961326
"27","Iraq",1,33.223191,43.679291,"Western Asia",0.138121546961326,0.00138121546961326
"28","Ireland",9,53.41291,-8.24389,"Northern Europe",1.24309392265193,0.0124309392265193
"29","Israel",1,31.046051,34.851612,"Western Asia",0.138121546961326,0.00138121546961326
"30","Italy",2,41.87194,12.56738,"Southern Europe",0.276243093922652,0.00276243093922652
"31","Jamaica",4,18.109581,-77.297508,"Caribbean",0.552486187845304,0.00552486187845304
"32","Japan",21,36.204824,138.252924,"Eastern Asia",2.90055248618785,0.0290055248618785
"33","Korea (Democratic People's Republic of)",8,35.907757,127.766922,"Eastern Asia",0,0
"34","Kyrgyzstan",1,41.20438,74.766098,"Central Asia",0.138121546961326,0.00138121546961326
"35","Latvia",1,56.879635,24.603189,"Northern Europe",0.138121546961326,0.00138121546961326
"36","Mexico",23,23.634501,-102.552784,"Central America",3.1767955801105,0.031767955801105
"37","Netherlands",4,52.132633,5.291266,"Western Europe",0.552486187845304,0.00552486187845304
"38","New Zealand",5,-40.900557,174.885971,"Australia and New Zealand",0.69060773480663,0.0069060773480663
"39","Nicaragua",1,12.865416,-85.207229,"Central America",0.138121546961326,0.00138121546961326
"40","Nigeria",2,9.081999,8.675277,"Western Africa",0.276243093922652,0.00276243093922652
"41","Norway",1,60.472024,8.468946,"Northern Europe",0.138121546961326,0.00138121546961326
"42","Peru",1,-9.189967,-75.015152,"South America",0.138121546961326,0.00138121546961326
"43","Philippines",3,12.879721,121.774017,"South-Eastern Asia",0.414364640883978,0.00414364640883978
"44","Poland",14,51.919438,19.145136,"Eastern Europe",1.93370165745856,0.0193370165745856
"45","Romania",1,45.943161,24.96676,"Eastern Europe",0.138121546961326,0.00138121546961326
"46","Russian Federation",24,61.52401,105.318756,"Eastern Europe",3.31491712707182,0.0331491712707182
"47","Serbia",2,44.016521,21.005859,"Southern Europe",0.276243093922652,0.00276243093922652
"48","South Africa",2,-30.559482,22.937506,"Southern Africa",0.276243093922652,0.00276243093922652
"49","Spain",1,40.463667,-3.74922,"Southern Europe",0.138121546961326,0.00138121546961326
"50","Sweden",13,60.128161,18.643501,"Northern Europe",1.79558011049724,0.0179558011049724
"51","Switzerland",1,46.818188,8.227512,"Western Europe",0.138121546961326,0.00138121546961326
"52","Turkey",1,38.963745,35.243322,"Western Asia",0.138121546961326,0.00138121546961326
"53","Ukraine",2,48.379433,31.16558,"Eastern Europe",0.276243093922652,0.00276243093922652
"54","United Kingdom of Great Britain and Northern Ireland",24,55.378051,-3.435973,"Northern Europe",3.31491712707182,0.0331491712707182
"55","United States of America",331,37.09024,-95.712891,"Northern America",45.7182320441989,0.457182320441989
