"","B_Name","R_Name","total_blue_strikes","total_red_strikes","winner","winby"
"1","Marvin Vettori","Antonio Carlos Junior",10,137,"red","DEC"
"2","Takanori Gomi","Joe Lauzon",116,53,"red","KO/TKO"
"3","Brandon Moreno","Louis Smolka",0,365,"blue","SUB"
"4","Elizabeth Phillips","Raquel Pennington",141,243,"red","DEC"
"5","Reza Madadi","Norman Parke",0,139,"red","DEC"
"6","Shane Campbell","James Krause",69,177,"red","DEC"
"7","Johnny Case","Kazuki Tokudome",0,31,"blue","SUB"
"8","Justin Edwards","Joe Proctor",25,107,"red","SUB"
"9","Viscardi Andrade","Richard Walsh",102,233,"blue","DEC"
"10","Misha Cirkunov","Nikita Krylov",100,118,"blue","SUB"
"11","Ruslan Magomedov","Shawn Jordan",110,70,"blue","DEC"
"12","Eddie Alvarez","Gilbert Melendez",48,27,"blue","DEC"
"13","Gavin Tucker","Sam Sicilia",0,128,"blue","DEC"
"14","KJ Noons","Joshua Burkman",32,45,"red","DEC"
"15","Joe Proctor","Justin Salas",67,20,"blue","KO/TKO"
"16","Dan Henderson","Vitor Belfort",45,18,"red","KO/TKO"
"17","Jason Knight","Dan Hooker",104,24,"blue","DEC"
"18","Darrell Horcher","Khabib Nurmagomedov",0,36,"red","KO/TKO"
"19","Angela Hill","Rose Namajunas",27,28,"red","SUB"
"20","Bryan Barberena","Sage Northcutt",157,29,"blue","SUB"
"21","John Dodson","John Lineker",82,332,"red","DEC"
"22","Max Griffin","Colby Covington",0,81,"red","KO/TKO"
"23","Conor McGregor","Chad Mendes",91,78,"blue","KO/TKO"
"24","Alex Morono","James Moontasri",43,96,"blue","DEC"
"25","Sarah Moras","Jessica Andrade",15,85,"red","DEC"
"26","Valmir Lazaro","James Krause",91,80,"blue","DEC"
"27","Andre Fili","Felipe Arantes",73,39,"blue","DEC"
"28","Hans Stringer","Fabio Maldonado",44,134,"red","KO/TKO"
"29","Patrick Williams","Alejandro Perez",20,38,"blue","SUB"
"30","Diego Ferreira","Dustin Poirier",53,55,"red","KO/TKO"
"31","Lucie Pudilova","Lina Lansberg",0,14,"red","DEC"
"32","Leandro Issa","Jumabieke Tuerxun",17,12,"blue","SUB"
"33","Zach Makovsky","Joseph Benavidez",48,205,"red","DEC"
"34","Antonio Dos Santos","Daniel Sarafian",0,3,"red","KO/TKO"
"35","Drew Dober","Olivier Aubin-Mercier",132,221,"red","SUB"
"36","Takeya Mizugaki","Cody Garbrandt",120,96,"red","KO/TKO"
"37","Francimar Barroso","Darren Stewart",161,7,"blue","DEC"
"38","Josh Koscheck","Erick Silva",7,45,"red","SUB"
"39","Jonathan Meunier","Colby Covington",0,62,"red","SUB"
"40","Thibault Gouti","Olivier Aubin-Mercier",0,177,"red","SUB"
"41","Chad Laprise","Ross Pearson",198,177,"red","DEC"
"42","Danny Castillo","Jim Miller",60,50,"red","DEC"
"43","Dan Henderson","Tim Boetsch",33,41,"blue","KO/TKO"
"44","Andy Enz","Thiago Santos",111,51,"red","KO/TKO"
"45","Mike Rhodes","Robert Whittaker",51,19,"red","DEC"
"46","Chris Kelades","Patrick Holohan",0,10,"blue","DEC"
"47","Paul Felder","Ross Pearson",131,87,"red","DEC"
"48","Ovince Saint Preux","Mauricio Rua",26,48,"blue","KO/TKO"
"49","Alberto Mina","Mike Pyle",103,149,"blue","KO/TKO"
"50","Sean O'Connell","Gian Villante",15,33,"red","DEC"
"51","Travis Browne","Derrick Lewis",170,192,"red","KO/TKO"
"52","Mike de la Torre","Maximo Blanco",79,104,"red","KO/TKO"
"53","Rick Glenn","Evan Dunham",0,315,"red","DEC"
