"","country","tot","latitude","longitude"
"1","Afghanistan",1,33.93911,67.709953
"2","Albania",0,41.153332,20.168331
"3","Algeria",0,28.033886,1.659626
"4","American Samoa",0,-14.270972,-170.132217
"5","Andorra",0,42.546245,1.601554
"6","Angola",0,-11.202692,17.873887
"7","Anguilla",0,18.220554,-63.068615
"8","Antarctica",0,-75.250973,-0.071389
"9","Antigua and Barbuda",0,17.060816,-61.796428
"10","Argentina",2,-38.416097,-63.616672
"11","Armenia",1,40.069099,45.038189
"12","Aruba",0,12.52111,-69.968338
"13","Australia",15,-25.274398,133.775136
"14","Austria",0,47.516231,14.550072
"15","Azerbaijan",0,40.143105,47.576927
"16","Bahamas",1,25.03428,-77.39628
"17","Bahrain",0,25.930414,50.637772
"18","Bangladesh",0,23.684994,90.356331
"19","Barbados",0,13.193887,-59.543198
"20","Belarus",1,53.709807,27.953389
"21","Belgium",1,50.503887,4.469936
"22","Belize",0,17.189877,-88.49765
"23","Benin",0,9.30769,2.315834
"24","Bermuda",0,32.321384,-64.75737
"25","Bhutan",0,27.514162,90.433601
"26","Bolivia",0,-16.290154,-63.588653
"27","Bosnia and Herzegovina",2,43.915886,17.679076
"28","Botswana",0,-22.328474,24.684866
"29","Bouvet Island",0,-54.423199,3.413194
"30","Brazil",121,-14.235004,-51.92528
"31","British Indian Ocean Territory",0,-6.343194,71.876519
"32","British Virgin Islands",0,18.420695,-64.639968
"33","Brunei",0,4.535277,114.727669
"34","Bulgaria",0,42.733883,25.48583
"35","Burkina Faso",0,12.238333,-1.561593
"36","Burundi",0,-3.373056,29.918886
"37","Cambodia",0,12.565679,104.990963
"38","Cameroon",1,7.369722,12.354722
"39","Canada",29,56.130366,-106.346771
"40","Cape Verde",0,16.002082,-24.013197
"41","Cayman Islands",0,19.513469,-80.566956
"42","Central African Republic",0,6.611111,20.939444
"43","Chad",0,15.454166,18.732207
"44","Chile",1,-35.675147,-71.542969
"45","China",7,35.86166,104.195397
"46","Christmas Island",0,-10.447525,105.690449
"47","Cocos [Keeling] Islands",0,-12.164165,96.870956
"48","Colombia",1,4.570868,-74.297333
"49","Comoros",0,-11.875001,43.872219
"50","Congo [DRC]",0,-4.038333,21.758664
"51","Democratic Republic of the Congo",1,-0.228021,15.827659
"52","Cook Islands",0,-21.236736,-159.777671
"53","Costa Rica",0,9.748917,-83.753428
"54","Côte d'Ivoire",0,7.539989,-5.54708
"55","Croatia",1,45.1,15.2
"56","Cuba",3,21.521757,-77.781167
"57","Cyprus",1,35.126413,33.429859
"58","Czech Republic",4,49.817492,15.472962
"59","Denmark",4,56.26392,9.501785
"60","Djibouti",0,11.825138,42.590275
"61","Dominica",0,15.414999,-61.370976
"62","Dominican Republic",0,18.735693,-70.162651
"63","Ecuador",1,-1.831239,-78.183406
"64","Egypt",0,26.820553,30.802498
"65","El Salvador",0,13.794185,-88.89653
"66","Equatorial Guinea",0,1.650801,10.267895
"67","Eritrea",0,15.179384,39.782334
"68","Estonia",0,58.595272,25.013607
"69","Ethiopia",0,9.145,40.489673
"70","Falkland Islands [Islas Malvinas]",0,-51.796253,-59.523613
"71","Faroe Islands",0,61.892635,-6.911806
"72","Fiji",0,-16.578193,179.414413
"73","Finland",2,61.92411,25.748151
"74","France",8,46.227638,2.213749
"75","French Guiana",0,3.933889,-53.125782
"76","French Polynesia",0,-17.679742,-149.406843
"77","French Southern Territories",0,-49.280366,69.348557
"78","Gabon",0,-0.803689,11.609444
"79","Gambia",0,13.443182,-15.310139
"80","Gaza Strip",0,31.354676,34.308825
"81","Georgia",0,42.315407,43.356892
"82","Germany",2,51.165691,10.451526
"83","Ghana",0,7.946527,-1.023194
"84","Gibraltar",0,36.137741,-5.345374
"85","Greece",0,39.074208,21.824312
"86","Greenland",0,71.706936,-42.604303
"87","Grenada",0,12.262776,-61.604171
"88","Guadeloupe",0,16.995971,-62.067641
"89","Guam",1,13.444304,144.793731
"90","Guatemala",0,15.783471,-90.230759
"91","Guernsey",0,49.465691,-2.585278
"92","Guinea",0,9.945587,-9.696645
"93","Guinea-Bissau",0,11.803749,-15.180413
"94","Guyana",0,4.860416,-58.93018
"95","Haiti",1,18.971187,-72.285215
"96","Heard Island and McDonald Islands",0,-53.08181,73.504158
"97","Honduras",0,15.199999,-86.241905
"98","Hong Kong",0,22.396428,114.109497
"99","Hungary",0,47.162494,19.503304
"100","Iceland",1,64.963051,-19.020835
"101","India",0,20.593684,78.96288
"102","Indonesia",0,-0.789275,113.921327
"103","Iran",2,32.427908,53.688046
"104","Iraq",1,33.223191,43.679291
"105","Ireland",9,53.41291,-8.24389
