"","country","tot","latitude","longitude","Proportion of fighters","Percentage of fighters","continent"
"1","Australia",15,-25.274398,133.775136,2.07182320441989,0.0207182320441989,"Oceania"
"2","New Zealand",5,-40.900557,174.885971,0.69060773480663,0.0069060773480663,"Oceania"
"3","Jamaica",4,18.109581,-77.297508,0.552486187845304,0.00552486187845304,"Caribbean"
"4","Haiti",1,18.971187,-72.285215,0.138121546961326,0.00138121546961326,"Caribbean"
"5","Cuba",3,21.521757,-77.781167,0.414364640883978,0.00414364640883978,"Caribbean"
"6","Bahamas",1,25.03428,-77.39628,0.138121546961326,0.00138121546961326,"Caribbean"
"7","Nicaragua",1,12.865416,-85.207229,0.138121546961326,0.00138121546961326,"Central America"
"8","Mexico",23,23.634501,-102.552784,3.1767955801105,0.031767955801105,"Central America"
"9","Kyrgyzstan",1,41.20438,74.766098,0.138121546961326,0.00138121546961326,"Asia"
"10","China",7,35.86166,104.195397,0.966850828729282,0.00966850828729282,"Asia"
"11","Japan",21,36.204824,138.252924,2.90055248618785,0.0290055248618785,"Asia"
"12","Korea (Democratic People's Republic of)",8,35.907757,127.766922,0,0,"Asia"
"13","Romania",1,45.943161,24.96676,0.138121546961326,0.00138121546961326,"Europe"
"14","Russian Federation",24,61.52401,105.318756,3.31491712707182,0.0331491712707182,"Europe"
"15","Czech Republic",4,49.817492,15.472962,0.552486187845304,0.00552486187845304,"Europe"
"16","Ukraine",2,48.379433,31.16558,0.276243093922652,0.00276243093922652,"Europe"
"17","Belarus",1,53.709807,27.953389,0.138121546961326,0.00138121546961326,"Europe"
"18","Poland",14,51.919438,19.145136,1.93370165745856,0.0193370165745856,"Europe"
"19","Guam",1,13.444304,144.793731,0.138121546961326,0.00138121546961326,"Oceania"
"20","Cameroon",1,7.369722,12.354722,0.138121546961326,0.00138121546961326,"Africa"
"21","Canada",29,56.130366,-106.346771,4.00552486187845,0.0400552486187845,"Northern America"
"22","United States of America",331,37.09024,-95.712891,45.7182320441989,0.457182320441989,"Northern America"
"23","Sweden",13,60.128161,18.643501,1.79558011049724,0.0179558011049724,"Europe"
"24","Norway",1,60.472024,8.468946,0.138121546961326,0.00138121546961326,"Europe"
"25","Latvia",1,56.879635,24.603189,0.138121546961326,0.00138121546961326,"Europe"
"26","Ireland",9,53.41291,-8.24389,1.24309392265193,0.0124309392265193,"Europe"
"27","Denmark",4,56.26392,9.501785,0.552486187845304,0.00552486187845304,"Europe"
"28","Finland",2,61.92411,25.748151,0.276243093922652,0.00276243093922652,"Europe"
"29","Iceland",1,64.963051,-19.020835,0.138121546961326,0.00138121546961326,"Europe"
"30","United Kingdom of Great Britain and Northern Ireland",24,55.378051,-3.435973,3.31491712707182,0.0331491712707182,"Europe"
"31","Argentina",2,-38.416097,-63.616672,0.276243093922652,0.00276243093922652,"South America"
"32","Peru",1,-9.189967,-75.015152,0.138121546961326,0.00138121546961326,"South America"
"33","Chile",1,-35.675147,-71.542969,0.138121546961326,0.00138121546961326,"South America"
"34","Brazil",121,-14.235004,-51.92528,16.7127071823204,0.167127071823204,"South America"
"35","Colombia",1,4.570868,-74.297333,0.138121546961326,0.00138121546961326,"South America"
"36","Ecuador",1,-1.831239,-78.183406,0.138121546961326,0.00138121546961326,"South America"
"37","Philippines",3,12.879721,121.774017,0.414364640883978,0.00414364640883978,"Asia"
"38","South Africa",2,-30.559482,22.937506,0.276243093922652,0.00276243093922652,"Africa"
"39","Afghanistan",1,33.93911,67.709953,0.138121546961326,0.00138121546961326,"Asia"
"40","Bosnia and Herzegovina",2,43.915886,17.679076,0.276243093922652,0.00276243093922652,"Europe"
"41","Croatia",1,45.1,15.2,0.138121546961326,0.00138121546961326,"Europe"
"42","Serbia",2,44.016521,21.005859,0.276243093922652,0.00276243093922652,"Europe"
"43","Italy",2,41.87194,12.56738,0.276243093922652,0.00276243093922652,"Europe"
"44","Spain",1,40.463667,-3.74922,0.138121546961326,0.00138121546961326,"Europe"
"45","Nigeria",2,9.081999,8.675277,0.276243093922652,0.00276243093922652,"Africa"
"46","Cyprus",1,35.126413,33.429859,0.138121546961326,0.00138121546961326,"Asia"
"47","Turkey",1,38.963745,35.243322,0.138121546961326,0.00138121546961326,"Asia"
"48","Iraq",1,33.223191,43.679291,0.138121546961326,0.00138121546961326,"Asia"
"49","Armenia",1,40.069099,45.038189,0.138121546961326,0.00138121546961326,"Asia"
"50","Israel",1,31.046051,34.851612,0.138121546961326,0.00138121546961326,"Asia"
"51","Netherlands",4,52.132633,5.291266,0.552486187845304,0.00552486187845304,"Europe"
"52","Germany",2,51.165691,10.451526,0.276243093922652,0.00276243093922652,"Europe"
"53","Switzerland",1,46.818188,8.227512,0.138121546961326,0.00138121546961326,"Europe"
"54","Belgium",1,50.503887,4.469936,0.138121546961326,0.00138121546961326,"Europe"
"55","France",8,46.227638,2.213749,1.10497237569061,0.0110497237569061,"Europe"
