"","fighter","winby","n"
"1","Alan Jouban","DEC",3
"2","Alan Jouban","KO/TKO",3
"3","Beneil Dariush","DEC",4
"4","Beneil Dariush","KO/TKO",1
"5","Beneil Dariush","SUB",2
"6","Derrick Lewis","DEC",1
"7","Derrick Lewis","KO/TKO",6
"8","Francisco Trinaldo","DEC",5
"9","Francisco Trinaldo","KO/TKO",2
"10","Gegard Mousasi","DEC",2
"11","Gegard Mousasi","KO/TKO",5
"12","Max Holloway","DEC",3
"13","Max Holloway","KO/TKO",4
"14","Max Holloway","SUB",2
"15","Neil Magny","DEC",5
"16","Neil Magny","KO/TKO",2
"17","Neil Magny","SUB",1
"18","Robert Whittaker","DEC",3
"19","Robert Whittaker","KO/TKO",4
"20","Tony Ferguson","DEC",3
"21","Tony Ferguson","SUB",4
