"","B_Name","R_Name","BPrev","RPrev","BStreak","RStreak","B_Age","R_Age","B_Height","R_Height","B_Weight","R_Weight","B_Country","R_Country","Date","winby","winner","B__Round1_Grappling_Submissions_Attempts","B__Round2_Grappling_Submissions_Attempts","B__Round3_Grappling_Submissions_Attempts","R__Round1_Grappling_Submissions_Attempts","R__Round2_Grappling_Submissions_Attempts","R__Round3_Grappling_Submissions_Attempts","B__Round1_Grappling_Takedowns_Landed","B__Round2_Grappling_Takedowns_Landed","B__Round3_Grappling_Takedowns_Landed","R__Round1_Grappling_Takedowns_Landed","R__Round2_Grappling_Takedowns_Landed","R__Round3_Grappling_Takedowns_Landed","B__Round1_Strikes_Significant.Strikes_Landed","B__Round2_Strikes_Significant.Strikes_Landed","B__Round3_Strikes_Significant.Strikes_Landed","R__Round1_Strikes_Significant.Strikes_Landed","R__Round2_Strikes_Significant.Strikes_Landed","R__Round3_Strikes_Significant.Strikes_Landed"
"1","Marvin Vettori","Antonio Carlos Junior",1,6,1,1,23,27,182,187,84,84,"Italy","Brazil","01/02/2017","DEC","red",1,0,0,1,1,2,1,0,0,7,4,8,10,0,0,46,72,19
"2","Takanori Gomi","Joe Lauzon",2,2,0,0,38,32,172,177,70,70,"Japan","USA","07/27/2015","KO/TKO","red",0,0,0,0,0,0,0,0,0,1,1,0,19,57,40,30,23,0
"3","Brandon Moreno","Louis Smolka",0,6,0,4,23,25,170,175,56,56,"Mexico","USA","10/03/2016","SUB","blue",0,0,0,4,8,3,0,0,0,1,5,5,0,0,0,130,150,85
"4","Elizabeth Phillips","Raquel Pennington",3,5,1,2,30,28,167,170,61,61,"USA","States","08/22/2016","DEC","red",0,1,0,2,2,0,0,1,1,1,2,2,68,39,34,60,95,88
"5","Reza Madadi","Norman Parke",0,4,0,0,38,30,180,180,70,70,"Iran","Ireland","10/26/2015","DEC","red",0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,51,50,38
"6","Shane Campbell","James Krause",2,4,1,1,30,30,182,187,70,70,"Canada","USA","02/22/2016","DEC","red",0,0,0,1,0,0,0,2,0,1,0,0,30,17,22,73,54,50
"7","Johnny Case","Kazuki Tokudome",0,1,0,0,27,30,177,180,70,70,"USA","Japan","09/22/2014","SUB","blue",0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,11,14,6
"8","Justin Edwards","Joe Proctor",1,3,0,0,34,31,177,177,70,70,"USA","USA","06/08/2015","SUB","red",0,1,0,1,0,0,0,0,0,0,0,0,12,0,13,29,42,36
"9","Viscardi Andrade","Richard Walsh",2,4,1,1,33,28,182,182,77,77,"Brazil","Australia","03/21/2016","DEC","blue",0,0,0,0,0,0,1,0,0,3,1,1,37,36,29,87,89,57
"10","Misha Cirkunov","Nikita Krylov",3,2,3,2,30,25,190,190,93,93,"Latvia","Ukraine","12/11/2016","SUB","blue",0,1,1,0,1,0,5,1,1,0,0,0,73,23,4,86,32,0
"11","Ruslan Magomedov","Shawn Jordan",2,3,2,2,30,32,190,182,109,118,"Russia","USA","10/05/2015","DEC","blue",0,0,0,0,0,0,0,0,1,4,1,1,30,41,39,42,13,15
